#,Year,ET,MPH,Last,First,Entry,State,Engine,Make,Model,Chassis,Class,Unnamed: 13
1,1962,0.0,0.0,,,Sidewinder Plus One,California,,,Dragster,,AA/FD,EDIT THIS!
2,1963,0.0,0.0,,,Sidewinder Plus One,California,,,Dragster,,AA/FD,EDIT THIS!
3,1966,8.32,0.0,,,Coburn Glaze Spl. & Boyd,California,Chrysler Hemi,Fiat,Topolino,,AA/FC,EDIT THIS!
4,1967,0.0,0.0,,,Creasy Bros.,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
5,1968,8.09,180.0,,,"Muse, Oaks & Crafton",California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
6,1968,0.0,0.0,,,Creasy Bros.,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
7,1968,0.0,0.0,,,Bad Trip,,Chrysler Hemi,,Dragster,,Top Fuel,EDIT THIS!
8,1969,8.01,0.0,,,Wilder-Thocklen-Kinslow,Texas,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
9,1969,0.0,0.0,,,Creasy Bros.,Illinois,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
10,1970,0.0,0.0,,,Ulevich & Donaldson,,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
11,1970,0.0,0.0,,,Scotty's Auto,,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
12,1970,7.034,0.0,,,Cow Palace Shell,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
13,1972,0.0,0.0,,,Bean Bandits,California,Chrysler Hemi,,Dragster,,Top Eliminator,EDIT THIS!
14,1973,6.88,214.28,,,American Dream,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
15,1973,6.9,0.0,,,Westhouse-Taylor-Pallatine,,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
16,1973,0.0,0.0,,,Liquidator,West Virginia,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
17,1977,0.0,0.0,,,J&L Machine Shop,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
18,1962,10.7,130.0,Abbott,John,John Abbott & Gesink,Colorado,Oldsmobile,,Dragster,Kemp & Abbott,A/FD,EDIT THIS!
19,1963,8.64,172.3,Abbott,John,John Abbott,Colorado,Pontiac,,Dragster,Osgood & Wilson,AA/FD,EDIT THIS!
20,1964,8.4,186.4,Abbott,John,John Abbott,Colorado,Pontiac,,Dragster,Osgood & Wilson,AA/FD,EDIT THIS!
21,1965,8.09,195.0,Abbott,John,John Abbott,Colorado,Pontiac,,Dragster,Osgood & Wilson,AA/FD,EDIT THIS!
22,1966,7.47,0.0,Abbott,John,Kading-Abbott-Gear,Colorado,Chrysler Hemi,Chrysler,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
23,1967,7.06,227.84,Abbott,John,Kueler & Abbott,Colorado,Chrysler Hemi,Chrysler,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
24,1968,7.23,228.42,Abbott,John,MW Enterprises # 2 Car,Colorado,Chrysler Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
25,1968,0.0,0.0,Abbott,John,Spickler Automotive,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
26,1968,7.46,0.0,Abbott,John,Rice & Stark,Colorado,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
27,1969,6.985,232.55,Abbott,John,Whitted-Abbott,Colorado,Chrysler Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
28,1970,6.992,212.29,Abbott,John,Whitted Racing Enterprises,Colorado,Chrysler Hemi,,Dragster,RCE,AA/FD,EDIT THIS!
29,1971,0.0,0.0,Abbott,John,Whitted Racing Enterprises,Colorado,Chrysler Hemi,,Dragster,RCE,AA/FD,EDIT THIS!
30,1972,0.0,0.0,Abbott,John,Don Denner,Kansas,Chevrolet,,Dragster,,AA/FD,EDIT THIS!
31,1975,6.15,228.42,Abbott,John,Centennial State Charger,Colorado,Chrysler Hemi,,Dragster,Peek Bros.,AA/FD,EDIT THIS!
32,1976,5.9,231.0,Abbott,John,Frazier & Williams,Colorado,Chrysler Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
33,1977,5.88,243.24,Abbott,John,Frazier & Abbott,Colorado,Milodon Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
34,1978,5.88,244.56,Abbott,John,Jet X,Colorado,Milodon Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
35,1979,5.93,243.9,Abbott,John,Jeg's Automotive,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,AA/FD,EDIT THIS!
36,1979,5.905,247.25,Abbott,John,Jet X,Colorado,Keith Black Hemi,,Dragster,Mark Williams,AA/FD,EDIT THIS!
37,1980,5.82,245.9,Abbott,John,Jolly Rancher,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,AA/FD,EDIT THIS!
38,1980,5.935,248.61,Abbott,John,Jeg's Automotive,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
39,1981,5.641,250.69,Abbott,John,Jolly Rancher,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
40,1982,5.545,253.62,Abbott,John,Jolly Rancher,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
41,1983,5.805,250.69,Abbott,John,John Abbott,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,AA/FD,EDIT THIS!
42,1984,6.204,231.36,Abbott,John,John Abbott,Colorado,Keith Black Hemi,,Dragster,Al Swindahl,AA/FD,EDIT THIS!
43,1966,8.25,182.0,Abbott,Ron,Hellzapoppin',New York,Chevrolet,,Dragster,,TF,EDIT THIS!
44,1967,0.0,0.0,Achs,Ken,Ken Achs,Saskatchewan,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
45,1970,7.2,214.28,Achs,Ken,Ken Achs,Saskatchewan,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
46,1984,6.2,227.84,Adams,Mike,Mike Adams,California,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
47,1965,7.94,191.48,Adams,Stan,Starlite III,California,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
48,1975,6.55,231.95,Ademico,Terry,Terry Ademico,,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
49,1966,7.98,200.44,Adkins,Eugene,Eugene Adkins,Tennessee,Chevrolet,,Dragster,,BB/FD,EDIT THIS!
50,1967,7.666,200.88,Adkins,Sonny,Tennessee Bo-Weevil,Tennessee,Chrysler Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
51,1968,0.0,0.0,Adkins,Sonny,Tennessee Bo-Weevil,Tennessee,Chrysler Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
52,1977,6.18,223.32,Adolph,Jim,R.J. Trotter,California,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
53,1985,6.61,177.23,Adolph,Jim,R.J. Trotter,California,Keith Black Hemi,,Dragster,Dave Uyehara,TF,EDIT THIS!
54,1990,6.5,143.77,Adolph,Jim,Top Fuel Inc. / R.J. Trotter,California,Keith Black Hemi,,Dragster,Hansen Race Cars,TF,EDIT THIS!
55,1991,5.835,233.16,Adolph,Jim,Top Fuel Inc. / R.J. Trotter,California,Keith Black Hemi,,Dragster,Hansen Race Cars,TF,EDIT THIS!
56,1992,0.0,0.0,Adolph,Jim,Top Fuel Inc. / R.J. Trotter,California,Keith Black Hemi,,Dragster,Hansen Race Cars,TF,EDIT THIS!
57,1993,5.635,241.93,Adolph,Jim,Top Fuel Inc. / R.J. Trotter,California,Keith Black Hemi,,Dragster,Hansen Race Cars,TF,EDIT THIS!
58,1989,0.0,0.0,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
59,1990,6.45,210.38,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
60,1991,0.0,0.0,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
61,1992,5.605,244.56,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
62,1993,0.0,0.0,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
63,1994,0.0,0.0,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
64,1994,0.0,0.0,Agius,Keith,Oz Nitro,Victoria,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
65,2006,7.017,116.63,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
66,2007,4.881,278.07,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
67,2008,5.317,233.8,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
68,2009,5.165,304.4,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
69,2010,4.915,293.7,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
70,2012,0.0,0.0,Ahonen,Janne,Rune Fjeld,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
71,2015,0.0,0.0,Ahonen,Janne,ART,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
72,2016,0.0,0.0,Ahonen,Janne,ART,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
73,2017,0.0,0.0,Ahonen,Janne,ART,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
74,2018,0.0,0.0,Ahonen,Janne,ART,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
75,1967,7.295,162.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
76,1968,0.0,0.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
77,1969,0.0,0.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
78,1970,6.75,0.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
79,1972,0.0,0.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
80,1972,6.985,0.0,Ahrberg,Fred,Van Iderstine Speed Center,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
81,1975,7.93,176.0,Airington,Ramon,"Airington, Simpson & Jenkins",Texas,Chrysler Hemi,,Dragster,,A/FD,EDIT THIS!
82,2011,0.0,0.0,al-Balooshi,Khalid,Al-Anabi Racing,,Keith Black Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
83,2012,0.0,0.0,al-Balooshi,Khalid,Al-Anabi Racing,California,Alan Johnson Chrysler,,Dragster,Murf McKinney,TF,EDIT THIS!
84,2013,0.0,0.0,al-Balooshi,Khalid,Al-Anabi Racing,California,Alan Johnson Chrysler,,Dragster,Aerodyne,TF,EDIT THIS!
85,2014,0.0,0.0,al-Balooshi,Khalid,Al-Anabi Racing,California,Alan Johnson Chrysler,,Dragster,Aerodyne,TF,EDIT THIS!
86,1965,0.0,0.0,Albano,Bob,Bob Albano,Illinois,Plymouth,,Dragster,,B/FD,EDIT THIS!
87,1973,0.0,0.0,Alberty,Bob,Bob Alberty,Oklahoma,Chrysler Hemi,,Dragster,Ed Mabry,AA/FD,EDIT THIS!
88,1974,0.0,0.0,Alberty,Bob,Bob Alberty,Oklahoma,Chrysler Hemi,,Dragster,Ed Mabry,AA/FD,EDIT THIS!
89,1972,0.0,0.0,Albrich,Gordy,Gordy Albrich,,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
90,1961,8.12,187.8,Alexander,Bill,Shudder Bug/Ernie's Camera Shop,California,Pontiac,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
91,1963,8.11,190.0,Alexander,Bill,Ernie's Camera Special,California,Pontiac,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
92,1964,7.501,205.94,Alexander,Bill,Brissette-Alexander,California,Chrysler Hemi,,Dragster,RCS,A/FD,EDIT THIS!
93,1964,8.1,196.93,Alexander,Bill,Quincy Auto/Brammer,California,Chrysler Hemi,,Dragster,,B/FD,EDIT THIS!
94,1964,8.17,191.48,Alexander,Bill,"Quincy, Herbert & Brissette",California,Chrysler Hemi,,Dragster,,B/FD,EDIT THIS!
95,1965,7.57,219.5,Alexander,Bill,Brissette-Alexander,California,Chrysler Hemi,,Dragster,RCS,B/FD,EDIT THIS!
96,1965,7.54,196.92,Alexander,Bill,Cheetah,California,Chrysler Hemi,,Dragster,Jim Davis,AA/FD,EDIT THIS!
97,1965,8.0,0.0,Alexander,Bill,Beaver Bros.,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
98,1966,7.87,180.36,Alexander,Bill,Cheetah,California,Chrysler Hemi,,Dragster,Jim Davis,AA/FD,EDIT THIS!
99,1966,7.75,190.66,Alexander,Bill,Beaver Bros. & Clark,California,Chrysler Hemi,,Dragster,RCS,AA/FD,EDIT THIS!
100,1966,7.57,210.28,Alexander,Bill,Plueger Bros.,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
101,1967,6.74,202.24,Alexander,Bill,Beaver Bros. & Clark,California,Chrysler Hemi,,Dragster,RCS,AA/FD,EDIT THIS!
102,1967,7.195,212.26,Alexander,Bill,Plueger Bros.,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
103,1968,0.0,0.0,Alexander,Bill,Beaver Bros.,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
104,1968,6.99,216.34,Alexander,Bill,Moonlighter,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
105,1969,0.0,0.0,Alexander,Bill,Beaver Bros. & Clark,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
106,1969,6.74,221.67,Alexander,Bill,Bill Wishart,California,Chrysler Hemi,,Dragster,Pete Ogden,AA/FD,EDIT THIS!
107,1969,7.07,0.0,Alexander,Bill,Moonlighter,California,Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
108,1969,0.0,0.0,Alexander,Bill,The Wailer,California,Chrysler Hemi,,Dragster,John Hay,AA/FD,EDIT THIS!
109,1970,6.65,221.67,Alexander,Bill,Bill Wishart,California,Chrysler Hemi,,Dragster,Pete Ogden,AA/FD,EDIT THIS!
110,1971,6.67,210.28,Alexander,Bill,Bill Wishart,California,Chrysler Hemi,,Dragster,Pete Ogden,AA/FD,EDIT THIS!
111,2018,0.0,0.0,Alexander,Blake,Pronto Auto Parts,North Carolina,TFX Hemi,,Dragster,Murf McKinney,Top Fuel,EDIT THIS!
112,1965,9.39,155.0,Allard,Alan,Allard Racing,Wandsworth,Chrysler Hemi,,Dragster,Sydney Allard,Top Eliminator,EDIT THIS!
113,1966,0.0,0.0,Allard,Alan,Allard Racing,Wandsworth,Chrysler Hemi,,Dragster,Sydney Allard,Top Eliminator,EDIT THIS!
114,1978,0.0,0.0,Allard,Dick,Sundowners,New Hampshire,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
115,1979,6.17,217.91,Allard,Dick,Sundowners,New Hampshire,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
116,1980,5.94,217.39,Allard,Dick,Sundowners,New Hampshire,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
117,1981,5.934,242.58,Allard,Dick,Sundowners,New Hampshire,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
118,1982,5.919,243.9,Allard,Dick,Sundowners,New Hampshire,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
119,1961,10.841,0.0,Allard,Sydney,Allard Racing,Wandsworth,Chrysler Hemi,,Dragster,Sydney Allard,Top Eliminator,EDIT THIS!
120,1962,10.48,140.0,Allard,Sydney,Allard Racing,Wandsworth,Chrysler Hemi,,Dragster,Sydney Allard,Top Eliminator,EDIT THIS!
121,1963,10.91,0.0,Allard,Sydney,Allard Racing,Wandsworth,Chrysler Hemi,,Dragster,Sydney Allard,Top Eliminator,EDIT THIS!
122,2019,0.0,0.0,Allen,Artie,Allen's Speed & Machine Shop LLC.,Florida,TFX Hemi,,Dragster,Brad Hadman,Top Fuel,EDIT THIS!
123,2020,0.0,0.0,Allen,Artie,Allen's Speed & Machine Shop LLC.,Florida,TFX Hemi,,Dragster,Brad Hadman,Top Fuel,EDIT THIS!
124,2021,0.0,0.0,Allen,Artie,Allen's Speed & Machine Shop LLC.,Florida,TFX Hemi,,Dragster,Brad Hadman,Top Fuel,EDIT THIS!
125,2022,0.0,0.0,Allen,Artie,Allen's Speed & Machine Shop LLC.,Florida,TFX Hemi,,Dragster,Brad Hadman,Top Fuel,EDIT THIS!
126,1965,0.0,0.0,Allen,Don,Don Allen,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
127,1966,0.0,0.0,Allen,Gary,Walton & Allen,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
128,1967,0.0,0.0,Allen,Gary,Grecian,California,Chrysler Hemi,,Dragster,Kent Fuller,AA/FD,EDIT THIS!
