country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
ASEAN (Ember),2000,,,,,,,,,5.600,1.519,,500.231,,,,,,71.030,,,,,19.268,,368.650,368.650,,,,,,,,,295.750,,,80.225,,,,,,163.220,,,,,,44.275,,184.410,,,,,50.370,,13.663,,,,,,72.900,,19.775,,,,,,,,0.000,,0.000,,,,,,61.500,,,,,,16.682,,,22.530,16.930,,,,,,6.111,4.592,,,,,,,,72.900,,19.775,,,,,,0.000,,0.000,,,,,,0.000,,0.000,
ASEAN (Ember),2001,,,,,,,,,6.020,1.516,,499.358,,,,,,80.020,,,,,20.147,,397.190,397.190,,,,,,,,,320.510,,,80.694,,,,,,185.350,,,,,,46.665,,198.340,,,,,54.260,,13.661,,,,,,76.680,,19.306,,,,,,,,0.000,,0.000,,,,,,55.140,,,,,,13.883,,,22.420,16.400,,,,,,5.645,4.129,,,,,,,,76.680,,19.306,,,,,,0.000,,0.000,,,,,,0.000,,0.000,
ASEAN (Ember),2002,,,,,,,,,6.060,1.433,,505.652,,,,,,87.160,,,,,20.614,,422.820,422.820,,,,,,,,,346.830,,,82.028,,,,,,203.520,,,,,,48.134,,213.800,,,,,53.320,,12.611,,,,,,75.990,,17.972,,,,,,,,0.000,,0.000,,,,,,56.150,,,,,,13.280,,,22.670,16.610,,,,,,5.362,3.928,,,,,,,,75.990,,17.972,,,,,,0.000,,0.000,,,,,,0.000,,0.000,
ASEAN (Ember),2003,,,,,,,,,6.690,1.496,,513.698,,,,,,98.510,,,,,22.031,,447.150,447.150,,,,,,,,,371.440,,,83.068,,,,,,216.920,,,,,,48.512,,229.700,,,,,53.280,,11.915,,,,,,75.710,,16.932,,,,,,,,0.000,,0.000,,,,,,56.010,,,,,,12.526,,,22.430,15.740,,,,,,5.016,3.520,,,,,,,,75.710,,16.932,,,,,,0.000,,0.000,,,,,,0.000,,0.000,
ASEAN (Ember),2004,,,,,,,,,7.570,1.561,,520.910,,,,,,111.620,,,,,23.017,,484.940,484.940,,,,,,,,,407.920,,,84.118,,,,,,237.970,,,,,,49.072,,252.610,,,,,52.880,,10.904,,,,,,77.020,,15.882,,,,,,,,0.000,,0.000,,,,,,58.330,,,,,,12.028,,,24.140,16.570,,,,,,4.978,3.417,,,,,,,,77.020,,15.882,,,,,,0.000,,0.000,,,,,,0.000,,0.000,
ASEAN (Ember),2005,,,,,,,,,7.940,1.555,,525.789,,,,,,122.390,,,,,23.966,,510.680,510.680,,,,,,,,,432.460,,,84.683,,,,,,250.680,,,,,,49.087,,268.510,,,,,53.760,,10.527,,,,,,78.220,,15.317,,,,,,,,0.000,,0.000,,,,,,59.390,,,,,,11.630,,,24.440,16.500,,,,,,4.786,3.231,,,,,,,,78.220,,15.317,,,,,,0.000,,0.000,,,,,,0.020,,0.004,
ASEAN (Ember),2006,,,,,,,,,7.760,1.451,,525.277,,,,,,135.260,,,,,25.298,,534.670,534.670,,,,,,,,,449.350,,,84.042,,,,,,256.200,,,,,,47.917,,280.850,,,,,60.380,,11.293,,,,,,85.320,,15.958,,,,,,,,0.000,,0.000,,,,,,57.890,,,,,,10.827,,,24.890,17.130,,,,,,4.655,3.204,,,,,,,,85.320,,15.958,,,,,,0.000,,0.000,,,,,,0.050,,0.009,
ASEAN (Ember),2007,,,,,,,,,9.440,1.674,,529.352,,,,,,152.040,,,,,26.957,,564.010,564.010,,,,,,,,,474.140,,,84.066,,,,,,266.350,,,,,,47.224,,298.560,,,,,63.130,,11.193,,,,,,89.870,,15.934,,,,,,,,0.000,,0.000,,,,,,55.750,,,,,,9.885,,,26.680,17.240,,,,,,4.730,3.057,,,,,,,,89.870,,15.934,,,,,,0.000,,0.000,,,,,,0.060,,0.011,
ASEAN (Ember),2008,,,,,,,,,9.720,1.647,,518.096,,,,,,149.680,,,,,25.362,,590.180,590.180,,,,,,,,,491.570,,,83.292,,,,,,290.130,,,,,,49.160,,305.770,,,,,69.800,,11.827,,,,,,98.610,,16.708,,,,,,,,0.000,,0.000,,,,,,51.760,,,,,,8.770,,,28.750,19.030,,,,,,4.871,3.224,,,,,,,,98.610,,16.708,,,,,,0.000,,0.000,,,,,,0.060,,0.010,
ASEAN (Ember),2009,,,,,,,,,10.110,1.654,,519.021,,,,,,160.270,,,,,26.223,,611.170,611.170,,,,,,,,,507.840,,,83.093,,,,,,296.900,,,,,,48.579,,317.210,,,,,73.520,,12.029,,,,,,103.330,,16.907,,,,,,,,0.000,,0.000,,,,,,50.670,,,,,,8.291,,,29.730,19.620,,,,,,4.864,3.210,,,,,,,,103.330,,16.907,,,,,,0.010,,0.002,,,,,,0.070,,0.011,
