raceId,Constructor,Driver,tbl
18,1,1,0.0
18,2,2,5478.0
18,3,3,8163.0
18,4,4,17181.0
18,1,5,18014.0
19,6,8,0.0
19,2,9,19570.0
19,1,5,38450.0
19,7,15,45832.0
19,1,1,46548.0
19,2,2,49833.0
19,9,17,68130.0
19,4,4,70041.0
19,9,14,76220.0
19,11,18,86214.0
19,4,12,92202.0
20,6,13,0.0
20,6,8,3339.0
20,2,9,4998.0
20,2,2,8409.0
20,1,5,26789.0
20,7,15,41314.0
20,9,17,45473.0
20,3,3,55889.0
20,7,10,69500.0
20,4,4,77181.0
20,11,22,77862.0
21,6,8,0.0
21,6,13,3228.0
21,1,1,4187.0
21,2,9,5694.0
21,9,17,35938.0
21,11,18,53010.0
21,3,6,58244.0
21,7,15,59435.0
21,2,2,63073.0
22,6,13,0.0
22,1,1,3779.0
22,6,8,4271.0
22,2,9,21945.0
22,2,2,38741.0
22,4,4,53724.0
22,9,17,64229.0
22,3,3,71406.0
22,9,14,75270.0
22,7,15,76344.0
23,1,1,0.0
23,2,9,3064.0
23,6,13,4811.0
23,9,17,19295.0
23,5,20,24657.0
23,11,22,28408.0
23,3,6,30180.0
23,1,5,33191.0
23,6,8,33792.0
24,2,9,0.0
24,2,2,16495.0
24,9,14,23352.0
24,7,10,42627.0
24,6,13,43934.0
24,7,15,47775.0
24,11,22,53597.0
24,5,20,54120.0
24,1,5,54433.0
24,3,3,54749.0
24,11,18,67540.0
24,9,17,71299.0
25,6,13,0.0
25,6,8,17984.0
25,7,15,28250.0
25,1,5,28929.0
25,2,9,30512.0
25,9,17,40304.0
25,4,12,41033.0
25,4,4,43372.0
25,9,14,51021.0
25,1,1,54538.0
25,7,10,57700.0
25,5,20,58065.0
25,2,2,62079.0
26,1,1,0.0
26,2,2,68577.0
26,11,22,82273.0
27,1,1,0.0
27,4,12,5586.0
27,6,13,9339.0
27,2,2,9825.0
27,1,5,12411.0
27,6,8,14403.0
27,2,9,22682.0
27,5,20,33299.0
27,7,15,37158.0
27,3,3,37625.0
27,4,4,38600.0
27,5,7,39111.0
27,9,14,54971.0
27,3,6,60003.0
27,10,16,69488.0
27,10,21,84093.0
28,1,5,0.0
28,7,10,11061.0
28,6,8,16856.0
28,4,4,21614.0
28,1,1,23048.0
28,4,12,32298.0
28,7,15,36449.0
28,2,9,48321.0
28,9,17,58834.0
28,2,2,67709.0
28,9,14,70407.0
29,6,13,0.0
29,1,1,5611.0
29,2,9,37353.0
29,1,5,39703.0
29,7,15,50684.0
29,5,20,52625.0
29,7,10,67990.0
29,3,3,71457.0
29,2,2,82177.0
29,5,7,89794.0
29,4,12,92717.0
30,6,13,0.0
30,2,2,9383.0
30,1,1,10539.0
30,4,4,14478.0
30,5,20,14576.0
30,2,9,15037.0
30,5,7,16735.0
30,9,17,42776.0
30,7,10,67045.0
31,5,20,0.0
31,1,5,12512.0
31,2,9,20471.0
31,4,4,23903.0
31,2,2,27748.0
31,6,13,28816.0
31,1,1,29912.0
31,9,17,32048.0
31,6,8,39468.0
31,4,12,54445.0
31,7,10,58888.0
31,3,6,62015.0
31,7,15,65954.0
31,3,3,68635.0
31,11,18,73370.0
32,4,4,0.0
32,3,3,2957.0
32,1,1,5917.0
32,7,10,8155.0
32,5,20,10268.0
32,2,2,11101.0
32,9,14,16387.0
32,3,6,18489.0
32,11,18,19885.0
32,1,5,26902.0
32,2,9,27975.0
32,5,7,29432.0
32,6,13,35170.0
32,10,21,43571.0
33,4,4,0.0
33,2,9,5283.0
33,6,8,6400.0
33,4,12,20570.0
33,7,15,23767.0
33,5,20,39207.0
33,6,13,46158.0
33,9,17,50811.0
33,2,2,54120.0
33,5,7,59085.0
33,3,3,62096.0
33,1,1,78900.0
34,1,1,0.0
34,6,13,14925.0
34,6,8,16445.0
34,4,4,18370.0
34,2,2,28923.0
34,2,9,33219.0
34,7,10,41722.0
34,4,12,56645.0
34,5,20,64339.0
34,9,14,74842.0
34,11,22,85061.0
34,3,6,90847.0
34,5,7,91457.0
34,9,17,92422.0
35,6,13,0.0
35,4,4,13298.0
35,6,8,16235.0
35,5,20,38011.0
35,1,1,38907.0
35,7,10,44368.0
35,1,5,55074.0
35,7,15,68433.0
35,9,17,79666.0
36,6,8,0.0
36,1,4,7242.0
36,1,1,18595.0
36,2,2,38763.0
36,4,21,66469.0
36,6,13,66805.0
37,1,4,0.0
37,1,1,17557.0
37,6,8,18339.0
37,2,2,33777.0
37,6,13,36705.0
37,4,21,65638.0
37,7,15,70132.0
37,4,5,72015.0
37,3,25,89924.0
37,9,17,93556.0
38,6,13,0.0
38,1,1,2360.0
38,6,8,10839.0
38,2,2,13831.0
38,1,4,14426.0
38,2,9,45529.0
38,7,15,81371.0
38,4,21,81701.0
38,4,5,89411.0
38,3,3,89916.0
39,6,13,0.0
39,1,1,6790.0
39,1,4,17456.0
39,2,9,31615.0
39,9,14,58331.0
39,3,3,59538.0
39,4,5,62128.0
40,1,4,0.0
40,1,1,4095.0
40,6,13,69114.0
41,1,1,0.0
41,2,2,4343.0
41,3,25,5325.0
41,4,5,6729.0
41,6,8,13007.0
41,8,11,16698.0
41,1,4,21936.0
41,7,23,22888.0
41,9,17,22960.0
41,3,3,23984.0
41,8,19,24318.0
41,11,22,30439.0
42,1,1,0.0
42,1,4,1500.0
42,6,13,12800.0
42,6,8,15400.0
42,4,5,41400.0
42,7,15,66700.0
42,9,17,67300.0
42,2,20,67700.0
43,6,8,0.0
43,6,13,2414.0
43,1,1,32153.0
43,2,9,41727.0
43,2,2,48801.0
43,4,21,51940.0
43,1,4,56516.0
43,11,18,58885.0
43,3,3,68505.0
44,6,8,0.0
44,1,4,2459.0
44,1,1,39373.0
44,2,9,53319.0
44,6,13,54063.0
44,2,2,56336.0
45,1,4,0.0
45,6,13,8155.0
45,9,17,65674.0
45,3,25,65937.0
45,9,14,73656.0
45,2,2,80298.0
45,2,9,82415.0
46,1,1,0.0
46,6,8,715.0
46,2,2,43129.0
46,1,4,44858.0
46,2,9,47616.0
46,7,23,50669.0
46,3,3,59139.0
46,4,5,68104.0
46,9,17,76331.0
47,6,13,0.0
47,6,8,2275.0
47,1,4,26181.0
47,2,2,39674.0
47,1,1,45085.0
47,4,5,46169.0
47,3,3,55778.0
47,2,9,56707.0
47,4,21,59491.0
47,9,14,71009.0
47,3,25,79628.0
48,1,4,0.0
48,1,1,6062.0
48,6,8,27325.0
48,2,2,56562.0
48,2,9,60558.0
48,3,3,65810.0
48,4,5,66751.0
48,11,18,62168.0
48,9,17,65879.0
48,11,22,66958.0
48,7,15,67736.0
49,6,8,0.0
49,6,13,4695.0
49,1,4,14343.0
49,1,1,23615.0
49,2,2,51879.0
49,3,3,76876.0
49,9,17,80639.0
49,4,5,85106.0
49,2,9,85661.0
49,7,23,88574.0
49,7,15,103653.0
50,1,1,0.0
50,4,5,8377.0
50,6,8,9478.0
50,9,14,20297.0
50,4,21,38864.0
50,6,13,49042.0
50,2,9,49285.0
50,12,16,60129.0
50,5,24,80622.0
50,11,22,88342.0
51,6,8,0.0
51,1,4,9806.0
51,6,13,12891.0
51,5,20,53509.0
51,11,18,68666.0
51,5,24,73673.0
51,2,2,74224.0
51,9,14,80750.0
51,4,5,81186.0
51,9,17,84685.0
51,4,21,86683.0
52,6,8,0.0
52,6,13,1493.0
52,1,4,57019.0
52,3,3,62848.0
52,2,9,70957.0
52,2,2,71317.0
53,4,4,0.0
53,6,30,1246.0
53,1,8,19360.0
53,11,18,19992.0
53,1,31,37048.0
53,3,17,41932.0
53,3,3,63043.0
53,9,32,66771.0
53,6,13,69907.0
53,9,14,75541.0
53,5,24,85997.0
54,4,21,0.0
54,4,4,4585.0
54,11,18,9631.0
54,1,31,39351.0
54,6,13,43254.0
54,6,30,43854.0
54,2,35,80461.0
54,7,23,81288.0
55,4,4,0.0
55,1,8,1800.0
55,7,23,24800.0
55,2,2,31000.0
55,4,21,38100.0
55,2,35,49500.0
55,11,22,51900.0
55,9,14,53900.0
55,5,26,78800.0
56,6,30,0.0
56,4,4,2096.0
56,1,31,15868.0
56,6,13,17096.0
56,1,8,17524.0
56,3,17,37739.0
56,11,18,39635.0
56,4,21,40200.0
56,7,23,45511.0
56,11,22,77851.0
56,3,3,79675.0
56,2,35,82370.0
57,6,30,0.0
57,4,4,3751.0
57,6,13,4447.0
57,1,8,4879.0
57,11,22,72586.0
57,4,21,74116.0
57,3,3,74565.0
